あ ア a い イ i う ウ u え エ e お オ o 

か カ ka き キ ki く ク ku け ケ ke こ コ ko 

さ サ sa し シ si/shi す ス su せ セ se そ ソ so 

た タ ta ち チ chi つ ツ tsu て テ te と ト to 

な ナ na に ニ ni ぬ ヌ nu ね ネ ne の ノ no 

は ハ ha ひ ヒ hi ふ フ hu へ ヘ he ほ ホ ho 

ま マ ma み ミ mi む ム mu め メ me も モ mo 

や ヤ ya い イ i ゆ ユ yu え エ e よ ヨ yo 

ら ラ ra り リ ri る ル ru れ レ re ろ ロ ro 

わ ワ wa い イ i う ウ u え エ e を ヲ o/wo 

ん ン n 


が ガ ga 諺
ぎ ギ gi 光呟
ぐ グ gu 紘
げ ゲ ge 乎
ご ゴ go 　互　
ざ ザ za 妣
じ ジ zi 忖
ず ズ zu 怏
ぜ ゼ ze 壓
ぞ ゾ zo 　壼　
だ ダ da 嬉
ぢ ヂ di 仇
づ ヅ du 業
で デ de 揮
ど ド do 　欺　
ば バ ba 委
び ビ bi 曳
ぶ ブ bu 音
べ ベ be 易
ぼ ボ bo 　淫　
ぱ パ pa 殿
ぴ ピ pi 討
ぷ プ pu 噸
ぺ ペ pe 田
ぽ ポ po 　怒

